Iteration,Data Size (bytes),Encapsulation Time (s),Encrypt Time (s),Decrypt Time (s),Decapsulation Time (s),Total Time (s)
96,5533,4.839897155761719e-05,0.0002982616424560547,0.0003275871276855469,3.218650817871094e-05,0.0015666484832763672
97,5619,0.00011014938354492188,0.0004222393035888672,0.000370025634765625,4.863739013671875e-05,0.004030942916870117
98,5594,6.246566772460938e-05,0.0003006458282470703,0.0003218650817871094,3.2901763916015625e-05,0.0009717941284179688
99,5591,4.8160552978515625e-05,0.00028824806213378906,0.0003399848937988281,3.504753112792969e-05,0.0009684562683105469
100,5583,6.341934204101562e-05,0.000316619873046875,0.00032448768615722656,3.337860107421875e-05,0.0010159015655517578
101,5588,4.935264587402344e-05,0.00028514862060546875,0.00031304359436035156,3.123283386230469e-05,0.0009052753448486328
102,5602,4.458427429199219e-05,0.00028324127197265625,0.0003094673156738281,3.0517578125e-05,0.0008800029754638672
103,5643,4.291534423828125e-05,0.00028705596923828125,0.00030875205993652344,2.9802322387695312e-05,0.0008819103240966797
104,5526,4.1484832763671875e-05,0.0002779960632324219,0.0003209114074707031,4.076957702636719e-05,0.0008981227874755859
105,5581,4.220008850097656e-05,0.0002853870391845703,0.0003268718719482422,3.24249267578125e-05,0.0009262561798095703
106,5528,4.887580871582031e-05,0.0002918243408203125,0.0004227161407470703,3.457069396972656e-05,0.0012111663818359375
107,5529,6.67572021484375e-05,0.00033473968505859375,0.0003898143768310547,4.00543212890625e-05,0.00115966796875
108,5533,6.341934204101562e-05,0.0003490447998046875,0.0003459453582763672,4.100799560546875e-05,0.0011582374572753906
109,5554,6.961822509765625e-05,0.0003292560577392578,0.0003647804260253906,3.9577484130859375e-05,0.0011739730834960938
110,5540,7.009506225585938e-05,0.00037670135498046875,0.0006341934204101562,7.43865966796875e-05,0.0015990734100341797
111,5487,7.390975952148438e-05,0.0003426074981689453,0.00034332275390625,4.076957702636719e-05,0.0011491775512695312
112,5584,8.463859558105469e-05,0.0005404949188232422,0.0003941059112548828,5.412101745605469e-05,0.0016646385192871094
113,5501,7.987022399902344e-05,0.0003635883331298828,0.00038170814514160156,5.0067901611328125e-05,0.0012755393981933594
114,5477,6.914138793945312e-05,0.00030732154846191406,0.0003383159637451172,3.409385681152344e-05,0.0012116432189941406
115,5507,5.316734313964844e-05,0.0002875328063964844,0.0003151893615722656,3.1948089599609375e-05,0.001417398452758789
116,5519,4.601478576660156e-05,0.00028228759765625,0.0003247261047363281,3.123283386230469e-05,0.0016276836395263672
117,5559,0.00015306472778320312,0.0003981590270996094,0.0004706382751464844,6.508827209472656e-05,0.002024412155151367
118,5547,9.417533874511719e-05,0.0003612041473388672,0.0003552436828613281,4.6253204345703125e-05,0.0012505054473876953
119,5595,6.127357482910156e-05,0.0002970695495605469,0.00031566619873046875,3.218650817871094e-05,0.001373291015625
120,5505,5.0067901611328125e-05,0.000301361083984375,0.0003275871276855469,3.314018249511719e-05,0.0015993118286132812
121,5488,5.9604644775390625e-05,0.0002887248992919922,0.00030922889709472656,3.361701965332031e-05,0.0036170482635498047
122,5577,5.125999450683594e-05,0.0002872943878173828,0.000316619873046875,3.123283386230469e-05,0.0009241104125976562
123,5562,4.696846008300781e-05,0.00028395652770996094,0.0003132820129394531,3.0279159545898438e-05,0.0008981227874755859
124,5616,4.267692565917969e-05,0.00026917457580566406,0.00029349327087402344,2.9802322387695312e-05,0.00084686279296875
125,5556,4.124641418457031e-05,0.0002837181091308594,0.0003199577331542969,3.0517578125e-05,0.0009028911590576172
126,5546,6.866455078125e-05,0.0003304481506347656,0.0003399848937988281,3.838539123535156e-05,0.00113677978515625
127,5545,5.984306335449219e-05,0.0002913475036621094,0.00032067298889160156,3.2901763916015625e-05,0.0009846687316894531
128,5554,5.125999450683594e-05,0.0003142356872558594,0.00033974647521972656,5.0067901611328125e-05,0.002490997314453125
129,5479,5.602836608886719e-05,0.0003414154052734375,0.0005109310150146484,5.221366882324219e-05,0.001415252685546875
130,5519,6.151199340820312e-05,0.00032520294189453125,0.0003342628479003906,3.743171691894531e-05,0.0010688304901123047
131,5562,6.556510925292969e-05,0.0003693103790283203,0.00032782554626464844,3.790855407714844e-05,0.0012063980102539062
132,5533,7.605552673339844e-05,0.0003528594970703125,0.00033211708068847656,3.7670135498046875e-05,0.0011324882507324219
133,5500,5.698204040527344e-05,0.0002853870391845703,0.00031113624572753906,3.170967102050781e-05,0.0010325908660888672
134,5508,6.961822509765625e-05,0.0002872943878173828,0.0003120899200439453,3.123283386230469e-05,0.0011587142944335938
135,5471,4.506111145019531e-05,0.0002880096435546875,0.00037932395935058594,3.147125244140625e-05,0.0013659000396728516
136,5517,0.00011515617370605469,0.0004353523254394531,0.0003504753112792969,4.410743713378906e-05,0.0028197765350341797
137,5550,6.437301635742188e-05,0.0003027915954589844,0.0003342628479003906,3.409385681152344e-05,0.0010187625885009766
138,5532,5.316734313964844e-05,0.00031495094299316406,0.0003190040588378906,3.24249267578125e-05,0.0014004707336425781
139,5482,4.863739013671875e-05,0.0002930164337158203,0.000316619873046875,3.147125244140625e-05,0.001529693603515625
140,5590,4.744529724121094e-05,0.00028777122497558594,0.00033473968505859375,3.147125244140625e-05,0.001440286636352539
141,5599,4.4345855712890625e-05,0.00028133392333984375,0.0003116130828857422,3.0279159545898438e-05,0.0015087127685546875
142,5548,4.363059997558594e-05,0.0002808570861816406,0.00030684471130371094,3.075599670410156e-05,0.0014541149139404297
143,5587,4.220008850097656e-05,0.0002779960632324219,0.0003037452697753906,3.0517578125e-05,0.0015239715576171875
144,5549,4.1484832763671875e-05,0.0002815723419189453,0.0003085136413574219,3.0040740966796875e-05,0.0015392303466796875
