Metric,Data Size,Standard Deviation
encapsulation_time,5666.0,1.1682510375976562e-05
encapsulation_time,5668.0,0.0
encapsulation_time,5424.0,2.8052681201266383e-05
encapsulation_time,5423.0,2.4313271609644236e-05
encapsulation_time,5436.0,4.33272882589966e-06
encapsulation_time,5460.0,6.762563905663225e-06
encapsulation_time,5437.0,5.732901031989252e-06
encapsulation_time,5464.0,1.6036197396087872e-05
encapsulation_time,5446.0,2.6854125071907313e-05
encapsulation_time,5465.0,1.4487944691793639e-05
encapsulation_time,5480.0,2.1775070472573538e-05
encapsulation_time,5430.0,0.0
encapsulation_time,5542.0,1.5025543606871417e-05
encapsulation_time,5518.0,2.0237077077163126e-05
encapsulation_time,5447.0,1.077963728621467e-05
encapsulation_time,5432.0,0.0
encapsulation_time,5456.0,1.5139410813958239e-05
encapsulation_time,5651.0,5.341001902368871e-06
encapsulation_time,5576.0,1.886124448000687e-05
encapsulation_time,5674.0,0.0
encapsulation_time,5627.0,8.195728966186481e-06
encapsulation_time,5647.0,3.5762786865234375e-07
encapsulation_time,5670.0,0.0
encapsulation_time,5625.0,8.431055407565557e-06
encapsulation_time,5578.0,2.2695755068916482e-05
encapsulation_time,5664.0,0.0
encapsulation_time,5636.0,1.39019892097211e-05
encapsulation_time,5491.0,1.2522060632873102e-05
encapsulation_time,5624.0,1.6286903472394384e-05
encapsulation_time,5494.0,8.2741726455106e-06
encapsulation_time,5463.0,1.4005463079388768e-05
encapsulation_time,5515.0,1.2334561629054867e-05
encapsulation_time,5390.0,0.0
encapsulation_time,5473.0,9.648149186577662e-06
encapsulation_time,5481.0,4.792977794550342e-06
encapsulation_time,5649.0,5.947336999543391e-06
encapsulation_time,5675.0,5.0067901611328125e-06
encapsulation_time,5614.0,7.388052823775848e-06
encapsulation_time,5676.0,3.0994415283203125e-06
encapsulation_time,5633.0,1.2582686614328237e-05
encapsulation_time,5630.0,1.8793052426980473e-05
encapsulation_time,5653.0,1.2306494856435747e-05
encapsulation_time,5489.0,2.1982862759049882e-05
encapsulation_time,5637.0,1.9084856478479205e-05
encapsulation_time,5644.0,1.0967254638671875e-05
encapsulation_time,5639.0,6.537578683878203e-06
encapsulation_time,5418.0,8.064893898700153e-06
encapsulation_time,5476.0,1.5915664229098183e-05
encapsulation_time,5478.0,1.397779401564794e-05
encapsulation_time,5650.0,1.3292103067627323e-05
encapsulation_time,5629.0,2.8075214846008515e-05
encapsulation_time,5438.0,1.7183745149154993e-05
encapsulation_time,5440.0,1.251300112890971e-05
encapsulation_time,5340.0,0.0
encapsulation_time,5425.0,0.0
encapsulation_time,5428.0,1.9227833894401507e-06
encapsulation_time,5372.0,0.0
encapsulation_time,5455.0,2.85577942303508e-05
encapsulation_time,5429.0,2.7418136596679688e-06
encapsulation_time,5433.0,9.5367431640625e-07
encapsulation_time,5407.0,0.0
encapsulation_time,5416.0,1.0834937508000854e-05
encapsulation_time,5417.0,2.8371810913085938e-05
encapsulation_time,5502.0,1.7208061484360387e-05
encapsulation_time,5408.0,0.0
encapsulation_time,5449.0,2.2045662413724576e-06
encapsulation_time,5404.0,8.463859558105469e-06
encapsulation_time,5693.0,0.0
encapsulation_time,5665.0,5.7220458984375e-06
encapsulation_time,5657.0,0.0
encapsulation_time,5397.0,1.4185905456542969e-05
encapsulation_time,5469.0,7.013559791246441e-06
encapsulation_time,5646.0,3.8504600524902344e-05
encapsulation_time,5713.0,0.0
encapsulation_time,5692.0,0.0
encapsulation_time,5632.0,1.925368422148757e-05
encapsulation_time,5652.0,9.991480140121224e-06
encapsulation_time,5678.0,3.337860107421875e-06
encapsulation_time,5618.0,3.4604932557864573e-06
encapsulation_time,5504.0,1.4263728993029979e-05
encapsulation_time,5422.0,0.0
encapsulation_time,5399.0,1.2159347534179688e-05
encapsulation_time,5431.0,1.9073486328125e-06
encapsulation_time,5697.0,3.4689903259277344e-05
encapsulation_time,5708.0,0.0
encapsulation_time,5640.0,3.134297649565528e-05
encapsulation_time,5682.0,0.0
encapsulation_time,5420.0,4.1961669921875e-05
encapsulation_time,5641.0,0.0
encapsulation_time,5711.0,0.0
encapsulation_time,5669.0,9.385203007529274e-06
encapsulation_time,5648.0,9.417533874511719e-06
encapsulation_time,5718.0,0.0
encapsulation_time,5684.0,4.76837158203125e-07
encapsulation_time,5698.0,0.0
encapsulation_time,5655.0,1.1920928955078125e-05
encapsulation_time,5663.0,1.883892363234082e-05
encapsulation_time,5688.0,0.0
encapsulation_time,5393.0,0.0
encapsulation_time,5411.0,9.193467676050889e-06
encapsulation_time,5426.0,0.0
encapsulation_time,5414.0,0.0
encapsulation_time,5385.0,0.0
encapsulation_time,5391.0,0.0
encapsulation_time,5403.0,7.505032455335004e-06
encapsulation_time,5405.0,0.0
encapsulation_time,5679.0,0.0
encapsulation_time,5681.0,1.0132789611816406e-05
encapsulation_time,5654.0,0.0
encapsulation_time,5662.0,0.0
encapsulation_time,5645.0,5.543231964111328e-05
encapsulation_time,5406.0,0.0
encapsulation_time,5454.0,0.0
encapsulation_time,5444.0,0.0
encrypt_time,4426.0,0.0
encrypt_time,64968.0,0.0
encrypt_time,48146.0,0.0
encrypt_time,4380.0,0.0
encrypt_time,9163.0,0.0
encrypt_time,66615.0,0.0
encrypt_time,17493.0,0.0
encrypt_time,3654.0,0.0
encrypt_time,4374.0,0.0
encrypt_time,20400.0,9.043857794396911e-06
encrypt_time,5499.0,5.0016734523223566e-05
encrypt_time,5466.0,8.049990141038674e-05
encrypt_time,5413.0,4.220008850097656e-05
encrypt_time,5521.0,6.453321409376665e-05
encrypt_time,5445.0,8.867508125230127e-05
encrypt_time,5470.0,6.984382012682992e-05
encrypt_time,5498.0,7.386238238403625e-05
encrypt_time,5484.0,6.321206315112778e-05
encrypt_time,5448.0,6.573987306571628e-05
encrypt_time,5497.0,8.853719712363818e-05
encrypt_time,5441.0,3.537453862908269e-05
encrypt_time,5588.0,7.564875731843678e-05
encrypt_time,5544.0,7.010562900699931e-05
encrypt_time,5435.0,0.00013077374372511962
encrypt_time,5562.0,3.923839152361756e-05
encrypt_time,5595.0,2.3302705538848514e-05
encrypt_time,5442.0,2.590717711690537e-05
encrypt_time,5547.0,3.06816899173668e-05
encrypt_time,5496.0,4.500357673633921e-05
encrypt_time,5485.0,5.286094469900959e-05
encrypt_time,5560.0,1.5500160082763008e-05
encrypt_time,5572.0,7.436691926119075e-05
encrypt_time,5550.0,5.3429802308309835e-05
encrypt_time,5510.0,0.00017889175050525194
encrypt_time,5555.0,9.025581384682708e-05
encrypt_time,5529.0,7.51242903724476e-05
encrypt_time,5577.0,7.309175495313557e-05
encrypt_time,5606.0,3.181688696088319e-05
encrypt_time,5556.0,9.784584104643174e-05
encrypt_time,5570.0,9.56937725624861e-05
encrypt_time,5610.0,4.692405591394854e-05
encrypt_time,5524.0,7.98027918730393e-05
encrypt_time,5512.0,7.617469456604711e-05
encrypt_time,5503.0,7.432010396168494e-05
encrypt_time,5534.0,3.949214231611277e-05
encrypt_time,5622.0,5.5069933832462276e-05
encrypt_time,5602.0,2.369464353293317e-05
encrypt_time,5492.0,8.912441109857216e-05
encrypt_time,5605.0,0.00011751345816027392
encrypt_time,5561.0,2.4297239618766382e-05
encrypt_time,5443.0,3.257604055174067e-05
encrypt_time,5516.0,2.1201802068336226e-05
encrypt_time,5568.0,8.354424491206736e-05
encrypt_time,5508.0,5.758074082338789e-05
encrypt_time,5479.0,2.9828157709758586e-05
encrypt_time,5589.0,0.0001445446814190853
encrypt_time,5611.0,2.5282980719953448e-05
encrypt_time,5557.0,7.451764584880028e-05
encrypt_time,5540.0,7.624947059584316e-05
encrypt_time,5623.0,7.267593139797573e-05
encrypt_time,5579.0,1.320393432101946e-05
encrypt_time,5616.0,7.210725671048031e-05
encrypt_time,5536.0,0.00011736117524042919
encrypt_time,5552.0,4.6840675163390994e-05
encrypt_time,5600.0,4.839563729050789e-05
encrypt_time,5543.0,2.5390558762925864e-05
encrypt_time,5537.0,5.145732268463193e-05
encrypt_time,5575.0,9.990929182287912e-05
encrypt_time,5615.0,0.00011743600813180367
encrypt_time,5617.0,1.7942571183804754e-05
encrypt_time,5531.0,0.00018968742490962532
encrypt_time,5553.0,7.458828939537443e-05
encrypt_time,5574.0,0.00012004772973321298
encrypt_time,5533.0,3.2041093737169706e-05
encrypt_time,5619.0,6.174084791025018e-05
encrypt_time,5594.0,4.777943157625991e-05
encrypt_time,5591.0,4.8446397741034156e-05
encrypt_time,5583.0,4.8934361507672514e-05
encrypt_time,5643.0,3.5271196486924714e-05
encrypt_time,5526.0,7.889096535881258e-05
encrypt_time,5581.0,2.9730857848823127e-05
encrypt_time,5528.0,6.887697765788882e-05
encrypt_time,5554.0,9.590501472839813e-05
encrypt_time,5487.0,1.8629743810576974e-05
encrypt_time,5584.0,7.610920428930258e-05
encrypt_time,5501.0,3.2163046303689626e-05
encrypt_time,5477.0,4.8575479413948076e-05
encrypt_time,5507.0,0.00012390595562232465
